@relation weather

@attribute outlook {sunny, overcast, rainy}
@attribute temperature numeric
@attribute humidity numeric
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
overcast,53,69,FALSE,no
rainy,7,65,TRUE,no
rainy,65,60,TRUE,no
overcast,70,70,FALSE,yes
overcast,76,44,TRUE,yes
rainy,61,18,TRUE,no
overcast,57,57,TRUE,no
rainy,14,13,TRUE,no
overcast,28,38,TRUE,yes
rainy,40,34,TRUE,yes
sunny,22,42,FALSE,no
sunny,16,79,TRUE,yes
overcast,29,54,FALSE,no
rainy,44,28,TRUE,no
rainy,74,78,TRUE,yes
rainy,24,59,FALSE,no
overcast,7,56,FALSE,no
sunny,43,25,FALSE,no
overcast,76,57,FALSE,no
overcast,-4,27,FALSE,yes
rainy,29,73,FALSE,yes
sunny,66,55,FALSE,no
rainy,38,53,FALSE,yes
sunny,-2,11,FALSE,yes
overcast,46,15,TRUE,yes
overcast,25,29,TRUE,yes
rainy,31,63,FALSE,no
rainy,63,56,FALSE,yes
rainy,-2,17,TRUE,no
rainy,4,20,TRUE,yes
rainy,9,62,FALSE,no
overcast,24,21,TRUE,no
sunny,25,79,TRUE,no
sunny,9,55,FALSE,no
overcast,52,62,TRUE,yes
rainy,20,20,TRUE,no
sunny,45,17,FALSE,yes
overcast,18,55,TRUE,no
rainy,37,77,TRUE,yes
rainy,13,74,TRUE,yes
sunny,22,32,FALSE,yes
rainy,-5,54,TRUE,yes
rainy,22,38,FALSE,yes
sunny,31,51,TRUE,no
rainy,4,30,FALSE,yes
rainy,17,51,FALSE,no
rainy,55,20,TRUE,no
sunny,22,47,FALSE,no
rainy,42,75,TRUE,yes
rainy,46,53,FALSE,yes
sunny,67,12,FALSE,no
sunny,23,69,TRUE,no
overcast,72,18,TRUE,yes
rainy,23,54,TRUE,yes
rainy,4,25,FALSE,yes
rainy,61,37,TRUE,no
sunny,4,14,FALSE,yes
overcast,18,65,FALSE,yes
rainy,34,42,FALSE,yes
rainy,53,54,FALSE,no
rainy,16,47,TRUE,no
rainy,39,33,TRUE,no
rainy,55,48,FALSE,yes
rainy,25,38,FALSE,yes
rainy,78,12,FALSE,yes
sunny,-4,43,TRUE,yes
rainy,46,35,FALSE,yes
overcast,44,57,TRUE,yes
sunny,59,33,TRUE,yes
overcast,42,20,TRUE,yes
rainy,34,52,FALSE,no
overcast,-3,49,TRUE,no
rainy,60,50,FALSE,yes
sunny,14,73,FALSE,no
sunny,22,15,TRUE,yes
overcast,-3,28,TRUE,no
overcast,50,73,TRUE,no
sunny,-4,77,TRUE,no
rainy,41,75,FALSE,no
rainy,49,54,TRUE,yes
sunny,55,48,TRUE,no
overcast,4,52,FALSE,no
sunny,79,65,FALSE,yes
overcast,6,48,TRUE,no
sunny,4,60,FALSE,no
overcast,52,43,FALSE,yes
sunny,6,43,TRUE,yes
overcast,-2,19,TRUE,no
rainy,57,64,TRUE,yes
sunny,52,39,FALSE,yes
sunny,77,55,FALSE,yes
sunny,47,17,TRUE,no
rainy,16,31,TRUE,yes
rainy,41,42,FALSE,yes
overcast,23,36,TRUE,yes
sunny,7,24,FALSE,yes
overcast,66,49,TRUE,no
overcast,6,80,TRUE,yes
rainy,26,49,FALSE,yes
rainy,59,25,FALSE,no
sunny,44,42,TRUE,no
overcast,59,51,FALSE,yes
rainy,19,26,TRUE,yes
rainy,54,66,TRUE,yes
rainy,8,21,TRUE,no
rainy,38,66,FALSE,yes
sunny,2,69,TRUE,yes
rainy,66,28,TRUE,yes
sunny,48,57,FALSE,yes
rainy,-5,56,TRUE,yes
sunny,32,24,TRUE,no
overcast,62,74,FALSE,no
sunny,40,59,TRUE,no
rainy,44,74,TRUE,no
sunny,20,15,TRUE,yes
rainy,36,15,FALSE,no
overcast,76,47,FALSE,no
rainy,63,40,FALSE,no
sunny,22,75,TRUE,yes
rainy,11,54,TRUE,yes
sunny,17,37,FALSE,yes
rainy,9,71,TRUE,yes
overcast,52,52,TRUE,no
sunny,77,13,TRUE,no
rainy,21,58,TRUE,yes
overcast,2,37,FALSE,yes
overcast,46,64,FALSE,no
sunny,46,40,FALSE,yes
rainy,29,20,FALSE,yes
sunny,47,32,TRUE,no
overcast,67,25,FALSE,yes
rainy,9,53,FALSE,no
overcast,31,73,FALSE,yes
sunny,22,67,FALSE,yes
rainy,3,73,FALSE,yes
overcast,62,64,FALSE,yes
overcast,3,75,TRUE,no
rainy,52,58,FALSE,yes
sunny,7,35,FALSE,no
sunny,-5,13,TRUE,no
sunny,34,60,TRUE,yes
overcast,57,20,FALSE,yes
sunny,-5,26,TRUE,yes
sunny,2,43,FALSE,yes
rainy,52,46,TRUE,yes
overcast,58,72,FALSE,yes
sunny,17,71,TRUE,no
sunny,68,64,FALSE,no
overcast,42,47,TRUE,yes
rainy,78,28,TRUE,yes
overcast,8,75,FALSE,yes
sunny,-1,69,FALSE,no
rainy,50,37,TRUE,yes
overcast,75,52,TRUE,yes
overcast,19,42,TRUE,no
overcast,-4,48,TRUE,no
sunny,59,52,TRUE,yes
sunny,-4,44,TRUE,no
overcast,6,80,FALSE,yes
overcast,14,68,TRUE,no
sunny,0,70,TRUE,yes
overcast,14,63,FALSE,no
rainy,11,49,TRUE,yes
rainy,20,55,TRUE,yes
sunny,66,28,TRUE,yes
rainy,16,28,TRUE,no
sunny,30,17,FALSE,no
overcast,24,52,FALSE,yes
sunny,12,47,FALSE,no
sunny,52,24,TRUE,no
overcast,32,45,TRUE,no
sunny,67,80,FALSE,no
sunny,71,51,TRUE,no
sunny,15,33,TRUE,no
sunny,13,12,FALSE,no
rainy,61,16,TRUE,yes
overcast,42,27,TRUE,yes
overcast,43,56,FALSE,yes
overcast,50,28,FALSE,no
overcast,47,66,TRUE,yes
overcast,56,25,FALSE,yes
rainy,60,37,FALSE,yes
sunny,29,43,TRUE,no
sunny,22,15,TRUE,no
sunny,66,25,TRUE,yes
overcast,23,54,TRUE,yes
rainy,22,22,FALSE,no
sunny,15,58,FALSE,yes
overcast,60,10,TRUE,no
rainy,3,44,FALSE,yes
rainy,13,12,TRUE,no
overcast,54,23,FALSE,yes
overcast,60,31,TRUE,no
overcast,24,80,FALSE,no
overcast,80,11,TRUE,yes
sunny,1,41,TRUE,yes
overcast,44,65,FALSE,no
rainy,76,14,TRUE,no
overcast,10,16,TRUE,yes
overcast,59,11,TRUE,yes
overcast,6,14,FALSE,yes
rainy,26,57,FALSE,no
sunny,6,56,FALSE,no
sunny,63,13,FALSE,yes
sunny,21,28,TRUE,yes
overcast,67,80,FALSE,yes
sunny,62,40,TRUE,yes
overcast,32,45,TRUE,no
sunny,36,62,TRUE,no
rainy,25,64,FALSE,yes
rainy,24,43,TRUE,yes
overcast,35,50,TRUE,yes
overcast,80,13,FALSE,yes
sunny,24,75,TRUE,yes
sunny,8,40,FALSE,no
rainy,60,37,FALSE,yes
sunny,-2,65,TRUE,yes
rainy,0,59,FALSE,yes
rainy,70,50,TRUE,no
rainy,48,14,FALSE,no
sunny,39,36,FALSE,no
overcast,-1,54,FALSE,yes
sunny,19,27,TRUE,yes
rainy,76,45,TRUE,no
sunny,50,28,FALSE,no
sunny,46,38,FALSE,no
overcast,57,46,TRUE,no
rainy,11,47,TRUE,yes
sunny,25,52,FALSE,no
overcast,65,63,FALSE,no
overcast,14,22,FALSE,no
overcast,-5,51,TRUE,yes
sunny,20,55,TRUE,no
rainy,51,29,TRUE,no
rainy,54,56,FALSE,yes
rainy,59,60,TRUE,yes
overcast,16,40,FALSE,yes
rainy,66,60,TRUE,no
rainy,51,69,TRUE,yes
rainy,3,41,FALSE,yes
sunny,78,46,TRUE,no
sunny,64,30,TRUE,no
overcast,50,56,FALSE,yes
overcast,-5,12,TRUE,yes
sunny,18,53,FALSE,yes
rainy,39,29,FALSE,yes
rainy,78,28,FALSE,yes
rainy,14,70,FALSE,no
overcast,76,67,TRUE,yes
overcast,74,24,FALSE,yes
sunny,68,49,TRUE,no
overcast,29,27,FALSE,no
rainy,0,23,FALSE,yes
rainy,6,71,TRUE,yes
overcast,79,32,TRUE,no
rainy,61,61,TRUE,yes
overcast,1,21,TRUE,yes
sunny,10,23,TRUE,yes
rainy,6,62,FALSE,no
overcast,0,69,FALSE,yes
overcast,-4,62,TRUE,yes
rainy,10,53,TRUE,yes
overcast,21,29,FALSE,yes
sunny,54,28,TRUE,yes
rainy,17,30,FALSE,no
overcast,16,78,TRUE,no
rainy,36,48,TRUE,no
sunny,-1,29,FALSE,yes
sunny,10,46,FALSE,yes
sunny,54,55,TRUE,no
rainy,54,61,FALSE,yes
rainy,63,68,TRUE,yes
overcast,47,63,TRUE,yes
rainy,69,18,FALSE,yes
sunny,40,22,FALSE,yes
overcast,31,43,FALSE,no
overcast,28,20,TRUE,no
sunny,62,27,FALSE,yes
overcast,78,46,TRUE,no
sunny,58,57,FALSE,yes
sunny,25,70,FALSE,yes
rainy,70,73,TRUE,yes
rainy,78,17,FALSE,yes
overcast,28,26,TRUE,no
rainy,23,79,FALSE,no
rainy,13,19,FALSE,yes
overcast,-3,80,TRUE,yes
sunny,10,50,FALSE,no
overcast,74,23,FALSE,no
sunny,65,24,FALSE,yes
rainy,11,49,TRUE,yes
rainy,14,62,TRUE,no
sunny,43,78,TRUE,yes
rainy,5,15,FALSE,yes
overcast,36,63,FALSE,no
sunny,67,35,TRUE,yes
rainy,73,24,FALSE,yes
rainy,41,33,TRUE,no
sunny,8,32,TRUE,yes
overcast,59,16,FALSE,yes
rainy,58,49,FALSE,no
rainy,23,12,TRUE,no
rainy,19,21,FALSE,yes
rainy,55,22,FALSE,no
sunny,72,57,FALSE,no
overcast,35,61,TRUE,no
overcast,21,59,TRUE,no
sunny,61,71,TRUE,yes
rainy,20,44,TRUE,yes
sunny,44,73,TRUE,no
overcast,45,37,TRUE,no
overcast,56,59,TRUE,no
sunny,65,13,FALSE,yes
rainy,60,75,TRUE,yes
rainy,75,60,FALSE,yes
sunny,43,51,FALSE,no
overcast,75,61,FALSE,yes
overcast,52,59,TRUE,yes
sunny,32,76,FALSE,yes
rainy,51,66,TRUE,yes
rainy,34,29,TRUE,yes
sunny,29,45,FALSE,yes
rainy,32,76,FALSE,yes
rainy,26,38,FALSE,no
sunny,69,70,TRUE,yes
sunny,72,71,TRUE,no
sunny,9,76,FALSE,yes
rainy,64,62,TRUE,no
rainy,78,68,TRUE,no
rainy,77,36,TRUE,yes
overcast,13,68,TRUE,no
overcast,72,78,FALSE,yes
overcast,77,25,TRUE,yes
overcast,48,23,TRUE,no
sunny,72,19,TRUE,yes
overcast,34,80,TRUE,yes
rainy,11,64,TRUE,no
rainy,80,15,FALSE,no
rainy,6,27,FALSE,yes
overcast,61,25,TRUE,no
rainy,19,17,TRUE,no
rainy,71,39,FALSE,no
overcast,13,68,TRUE,no
sunny,8,17,FALSE,yes
sunny,-5,41,FALSE,no
rainy,23,73,FALSE,no
overcast,67,72,TRUE,no
overcast,35,25,FALSE,no
sunny,61,20,FALSE,yes
overcast,36,15,FALSE,yes
rainy,8,29,FALSE,no
overcast,39,52,TRUE,yes
overcast,28,13,TRUE,yes
overcast,67,40,TRUE,no
rainy,12,72,TRUE,no
rainy,35,65,FALSE,no
rainy,56,33,TRUE,yes
overcast,24,27,FALSE,no
rainy,55,58,FALSE,no
rainy,63,25,TRUE,yes
rainy,14,73,FALSE,yes
rainy,43,80,FALSE,yes
sunny,-5,34,TRUE,yes
overcast,71,29,TRUE,yes
sunny,55,32,FALSE,no
sunny,23,60,TRUE,no
overcast,13,56,FALSE,yes
rainy,51,22,TRUE,yes
rainy,10,35,TRUE,yes
rainy,35,18,TRUE,no
sunny,29,76,FALSE,yes
overcast,40,48,TRUE,yes
sunny,10,58,TRUE,yes
sunny,8,54,FALSE,yes
sunny,24,39,TRUE,yes
overcast,39,55,FALSE,no
overcast,75,27,FALSE,no
rainy,63,61,TRUE,no
overcast,10,34,FALSE,yes
rainy,19,65,FALSE,no
rainy,-5,30,FALSE,no
sunny,70,71,FALSE,yes
rainy,41,16,FALSE,no
sunny,19,36,TRUE,yes
overcast,64,62,FALSE,yes
rainy,69,63,TRUE,no
sunny,33,56,TRUE,no
sunny,46,20,TRUE,no
rainy,62,54,FALSE,no
rainy,69,54,TRUE,yes
overcast,69,10,TRUE,no
rainy,49,12,FALSE,no
rainy,4,14,TRUE,yes
rainy,25,62,TRUE,no
rainy,21,58,TRUE,yes
rainy,4,72,TRUE,yes
rainy,47,41,TRUE,no
rainy,1,16,FALSE,no
rainy,0,12,TRUE,no
sunny,40,79,TRUE,no
rainy,72,24,TRUE,yes
sunny,4,76,FALSE,no
sunny,36,25,TRUE,yes
overcast,70,64,TRUE,yes
rainy,-1,44,FALSE,no
overcast,-5,36,TRUE,no
overcast,6,50,TRUE,yes
sunny,45,22,TRUE,no
sunny,76,75,FALSE,yes
rainy,20,40,TRUE,yes
sunny,57,46,TRUE,yes
rainy,0,41,TRUE,no
overcast,13,29,TRUE,yes
rainy,41,32,FALSE,yes
sunny,2,75,TRUE,no
sunny,-2,68,TRUE,yes
rainy,0,28,FALSE,yes
overcast,27,13,TRUE,yes
sunny,67,33,TRUE,yes
rainy,41,50,FALSE,yes
rainy,37,62,FALSE,no
rainy,60,24,TRUE,yes
rainy,15,18,TRUE,yes
rainy,75,53,FALSE,no
rainy,37,34,FALSE,yes
overcast,16,67,TRUE,no
overcast,78,59,FALSE,yes
rainy,69,30,TRUE,yes
rainy,46,74,FALSE,yes
overcast,65,67,FALSE,yes
rainy,55,61,FALSE,yes
sunny,1,74,FALSE,yes
sunny,5,55,TRUE,yes
overcast,-2,73,TRUE,yes
rainy,76,37,TRUE,yes
overcast,22,52,TRUE,no
rainy,11,20,FALSE,no
rainy,58,36,TRUE,no
overcast,9,42,FALSE,no
overcast,24,36,FALSE,yes
overcast,-5,14,FALSE,yes
rainy,42,61,TRUE,yes
overcast,16,27,FALSE,yes
sunny,64,43,FALSE,yes
rainy,75,24,TRUE,no
sunny,14,34,TRUE,no
sunny,32,23,TRUE,yes
overcast,30,36,FALSE,yes
sunny,51,11,TRUE,yes
rainy,-5,65,TRUE,no
overcast,46,74,FALSE,yes
rainy,52,32,FALSE,yes
overcast,77,51,TRUE,yes
rainy,73,38,FALSE,yes
overcast,52,71,TRUE,no
rainy,40,39,FALSE,yes
sunny,16,34,TRUE,no
rainy,15,17,TRUE,yes
overcast,48,69,TRUE,yes
sunny,21,36,TRUE,yes
overcast,80,16,TRUE,no
overcast,21,59,FALSE,no
rainy,53,56,FALSE,yes
overcast,1,19,TRUE,yes
sunny,15,78,FALSE,no
rainy,51,65,TRUE,yes
overcast,78,70,TRUE,yes
overcast,46,44,TRUE,no
sunny,77,62,FALSE,yes
overcast,7,26,TRUE,no
rainy,72,23,TRUE,no
rainy,32,52,TRUE,no
rainy,5,39,FALSE,no
overcast,74,72,FALSE,yes
sunny,67,23,TRUE,yes
sunny,20,40,FALSE,no
overcast,9,45,FALSE,yes
sunny,16,13,TRUE,no
sunny,56,51,FALSE,yes
overcast,11,18,TRUE,no
rainy,18,27,FALSE,yes
overcast,-1,79,TRUE,no
rainy,49,70,FALSE,yes
overcast,49,31,FALSE,yes
overcast,43,17,FALSE,yes
overcast,54,34,TRUE,yes
sunny,58,70,FALSE,yes
overcast,46,54,FALSE,yes
rainy,41,10,TRUE,yes
rainy,8,32,FALSE,no
sunny,28,25,FALSE,yes
sunny,44,42,FALSE,yes
sunny,44,40,FALSE,yes
sunny,72,32,TRUE,yes
rainy,-4,10,TRUE,no
sunny,7,34,FALSE,no
rainy,17,37,FALSE,yes
rainy,78,61,TRUE,no
rainy,18,77,TRUE,no
rainy,28,32,TRUE,yes
rainy,21,20,FALSE,no
rainy,38,40,TRUE,no
overcast,55,63,FALSE,yes
rainy,45,65,FALSE,yes
overcast,8,15,FALSE,no
rainy,45,79,FALSE,yes
rainy,77,39,TRUE,no
sunny,49,61,TRUE,yes
rainy,8,39,TRUE,no
rainy,78,43,FALSE,no
overcast,28,24,FALSE,yes
overcast,61,79,FALSE,no
sunny,48,62,FALSE,yes
overcast,34,53,TRUE,yes
sunny,60,51,TRUE,yes
overcast,11,51,TRUE,yes
sunny,75,76,TRUE,yes
rainy,43,67,FALSE,yes
rainy,39,50,FALSE,yes
rainy,33,72,TRUE,yes
sunny,74,15,TRUE,no
overcast,22,66,FALSE,no
sunny,11,76,FALSE,no
overcast,6,21,FALSE,no
overcast,39,39,FALSE,no
overcast,62,40,TRUE,yes
overcast,48,68,FALSE,no
sunny,58,15,TRUE,no
sunny,9,12,TRUE,yes
rainy,24,41,FALSE,no
rainy,39,72,FALSE,no
overcast,57,52,TRUE,yes
rainy,13,34,TRUE,yes
sunny,36,47,FALSE,no
rainy,43,64,FALSE,yes
rainy,25,40,FALSE,no
sunny,78,16,TRUE,no
sunny,63,20,FALSE,yes
overcast,18,51,TRUE,no
sunny,46,72,TRUE,no
sunny,42,60,FALSE,no
rainy,55,71,TRUE,yes
sunny,62,78,TRUE,no
rainy,70,38,TRUE,yes
rainy,6,18,TRUE,yes
overcast,71,25,TRUE,no
sunny,73,44,FALSE,no
rainy,-3,71,TRUE,no
sunny,29,54,FALSE,no
rainy,36,78,TRUE,no
sunny,30,10,TRUE,yes
rainy,31,71,TRUE,no
rainy,-3,42,TRUE,no
sunny,50,15,FALSE,no
rainy,3,15,FALSE,no
overcast,67,24,TRUE,no
sunny,2,22,TRUE,yes
overcast,46,26,TRUE,yes
overcast,8,56,TRUE,no
rainy,3,58,TRUE,yes
overcast,11,44,TRUE,yes
overcast,9,39,TRUE,no
overcast,21,63,TRUE,yes
overcast,6,51,FALSE,yes
rainy,34,16,TRUE,no
rainy,71,31,TRUE,no
overcast,26,12,TRUE,yes
rainy,-1,69,FALSE,no
overcast,76,71,FALSE,yes
sunny,66,12,TRUE,yes
overcast,74,61,TRUE,yes
rainy,56,28,TRUE,yes
overcast,11,60,TRUE,no
sunny,59,32,FALSE,yes
overcast,60,32,FALSE,no
rainy,4,27,TRUE,no
overcast,33,69,TRUE,yes
sunny,51,40,TRUE,yes
overcast,58,67,TRUE,yes
rainy,35,11,FALSE,no
sunny,61,39,FALSE,yes
sunny,74,35,FALSE,no
sunny,72,40,TRUE,no
sunny,19,12,FALSE,yes
sunny,7,17,FALSE,no
rainy,52,67,FALSE,yes
sunny,49,40,FALSE,no
overcast,35,38,FALSE,yes
rainy,40,38,FALSE,yes
sunny,74,44,FALSE,no
sunny,30,33,FALSE,yes
rainy,56,62,TRUE,no
overcast,18,59,TRUE,yes
rainy,42,54,FALSE,yes
rainy,6,47,TRUE,yes
overcast,2,45,FALSE,no
rainy,75,40,TRUE,yes
sunny,-2,60,TRUE,yes
overcast,11,14,TRUE,no
rainy,70,50,FALSE,yes
sunny,7,77,TRUE,yes
sunny,31,63,FALSE,yes
overcast,80,51,TRUE,no
overcast,-5,27,FALSE,yes
sunny,9,19,TRUE,no
overcast,71,61,FALSE,no
sunny,60,51,TRUE,no
rainy,77,23,TRUE,yes
sunny,25,35,FALSE,no
sunny,30,64,FALSE,yes
rainy,22,19,TRUE,yes
sunny,20,73,TRUE,no
sunny,58,68,TRUE,no
sunny,55,35,TRUE,yes
rainy,46,36,TRUE,yes
sunny,15,24,TRUE,yes
rainy,4,22,TRUE,yes
sunny,39,37,FALSE,no
overcast,73,62,FALSE,yes
sunny,26,63,FALSE,no
sunny,53,57,TRUE,no
sunny,20,12,FALSE,no
sunny,67,68,FALSE,yes
sunny,63,38,FALSE,yes
sunny,15,12,TRUE,no
overcast,33,34,TRUE,no
rainy,43,46,FALSE,no
sunny,26,63,TRUE,no
rainy,4,54,FALSE,yes
sunny,58,74,FALSE,no
overcast,11,42,FALSE,yes
sunny,65,37,TRUE,no
rainy,-3,37,TRUE,no
sunny,42,28,TRUE,no
overcast,40,10,TRUE,no
rainy,69,24,FALSE,yes
sunny,20,26,TRUE,no
overcast,53,13,TRUE,no
sunny,11,56,FALSE,yes
overcast,57,30,TRUE,no
rainy,71,67,TRUE,yes
rainy,75,64,FALSE,no
overcast,56,71,TRUE,no
sunny,44,60,FALSE,yes
sunny,67,55,TRUE,yes
overcast,30,56,FALSE,no
overcast,30,54,FALSE,yes
sunny,23,59,FALSE,no
sunny,25,79,FALSE,no
overcast,78,44,FALSE,no
rainy,36,18,TRUE,yes
sunny,36,27,TRUE,no
sunny,38,26,FALSE,yes
overcast,61,59,FALSE,no
rainy,47,57,FALSE,no
rainy,68,43,FALSE,yes
sunny,32,73,TRUE,no
overcast,42,19,TRUE,yes
overcast,3,80,TRUE,yes
overcast,2,71,FALSE,no
overcast,33,39,TRUE,yes
rainy,1,44,FALSE,yes
overcast,53,73,TRUE,yes
overcast,42,69,TRUE,no
overcast,16,67,TRUE,yes
overcast,68,18,TRUE,no
rainy,78,61,FALSE,yes
rainy,-4,65,TRUE,yes
rainy,70,59,TRUE,yes
sunny,41,59,FALSE,no
overcast,18,38,FALSE,no
sunny,19,69,TRUE,yes
overcast,16,53,TRUE,no
rainy,1,70,TRUE,yes
rainy,24,55,TRUE,no
rainy,-3,70,TRUE,yes
rainy,25,36,FALSE,yes
rainy,53,48,FALSE,no
sunny,25,44,TRUE,yes
overcast,16,77,TRUE,yes
overcast,55,51,FALSE,no
rainy,51,71,FALSE,yes
rainy,49,51,TRUE,no
sunny,24,22,TRUE,yes
sunny,13,56,TRUE,yes
rainy,13,18,FALSE,yes
overcast,9,46,FALSE,yes
rainy,54,43,TRUE,no
rainy,-4,14,FALSE,no
rainy,5,60,FALSE,no
sunny,70,40,TRUE,no
sunny,50,15,FALSE,no
sunny,27,58,FALSE,no
rainy,65,63,TRUE,no
rainy,0,37,FALSE,no
sunny,73,54,FALSE,no
sunny,21,32,FALSE,no
overcast,49,72,FALSE,yes
rainy,26,22,TRUE,yes
sunny,17,61,FALSE,yes
sunny,9,42,FALSE,yes
rainy,19,52,TRUE,yes
overcast,19,56,TRUE,yes
overcast,24,70,TRUE,yes
overcast,70,67,TRUE,yes
rainy,78,75,TRUE,yes
overcast,18,16,TRUE,no
overcast,80,40,TRUE,yes
rainy,31,73,TRUE,yes
sunny,46,38,TRUE,yes
sunny,53,39,FALSE,yes
overcast,58,43,FALSE,yes
rainy,54,80,TRUE,yes
overcast,7,17,FALSE,no
rainy,74,58,TRUE,yes
rainy,31,58,TRUE,yes
sunny,71,74,TRUE,no
overcast,16,68,FALSE,no
rainy,53,13,TRUE,yes
overcast,26,43,TRUE,no
overcast,20,61,TRUE,no
overcast,44,36,FALSE,yes
sunny,21,57,TRUE,yes
sunny,36,77,TRUE,no
overcast,46,65,TRUE,yes
overcast,4,56,TRUE,no
overcast,24,56,TRUE,yes
sunny,21,37,FALSE,no
rainy,50,69,FALSE,yes
sunny,37,19,TRUE,no
sunny,73,48,FALSE,no
rainy,42,52,TRUE,no
overcast,76,71,FALSE,no
rainy,67,14,FALSE,no
overcast,67,17,FALSE,no
rainy,5,27,TRUE,no
rainy,62,46,TRUE,no
rainy,32,51,FALSE,yes
rainy,36,50,FALSE,no
rainy,28,76,TRUE,no
sunny,-3,45,TRUE,no
sunny,11,38,FALSE,yes
overcast,28,43,FALSE,no
sunny,-4,75,FALSE,no
overcast,59,15,FALSE,no
rainy,9,32,TRUE,no
rainy,63,52,TRUE,yes
sunny,74,77,FALSE,yes
sunny,66,75,TRUE,yes
rainy,51,75,TRUE,yes
rainy,32,18,FALSE,yes
sunny,77,50,FALSE,yes
rainy,6,27,TRUE,no
sunny,40,53,FALSE,no
rainy,55,73,TRUE,no
rainy,30,62,TRUE,yes
sunny,69,11,TRUE,yes
rainy,20,20,TRUE,yes
overcast,41,27,TRUE,no
overcast,13,11,TRUE,yes
sunny,23,58,TRUE,yes
overcast,62,12,TRUE,yes
rainy,43,56,FALSE,yes
sunny,62,37,TRUE,no
sunny,49,41,FALSE,no
overcast,-2,56,FALSE,yes
overcast,35,42,FALSE,yes
overcast,0,24,TRUE,no
overcast,41,34,TRUE,yes
sunny,9,75,TRUE,yes
rainy,75,25,TRUE,yes
sunny,5,80,FALSE,no
overcast,78,21,FALSE,no
rainy,37,34,FALSE,yes
rainy,2,72,TRUE,yes
rainy,63,11,TRUE,no
sunny,69,73,FALSE,no
rainy,8,56,FALSE,no
overcast,0,65,FALSE,yes
overcast,64,55,FALSE,no
rainy,60,73,FALSE,no
overcast,53,39,TRUE,no
overcast,7,41,FALSE,no
overcast,25,45,FALSE,no
overcast,70,24,TRUE,yes
overcast,45,17,FALSE,no
rainy,45,53,FALSE,no
rainy,12,37,FALSE,no
sunny,35,71,FALSE,yes
overcast,67,27,FALSE,no
rainy,74,59,FALSE,no
sunny,35,79,TRUE,no
overcast,80,66,FALSE,no
rainy,49,78,TRUE,no
sunny,6,40,FALSE,no
rainy,4,21,FALSE,yes
rainy,61,61,TRUE,yes
sunny,25,10,TRUE,yes
sunny,-1,46,FALSE,yes
sunny,48,77,FALSE,yes
overcast,43,71,FALSE,yes
sunny,54,36,TRUE,no
rainy,18,75,TRUE,yes
sunny,36,39,TRUE,no
overcast,-2,21,TRUE,yes
overcast,31,38,TRUE,yes
sunny,31,45,FALSE,no
sunny,60,46,FALSE,yes
overcast,26,39,TRUE,yes
sunny,71,62,FALSE,no
sunny,35,26,FALSE,yes
rainy,10,17,TRUE,yes
sunny,-3,32,FALSE,no
sunny,61,47,TRUE,no
