%estrutura dos dados
%n1, n2, n3, n4, n5, s1, s2

@relation milhao
  
@attribute primeiro_num real
@attribute segundo_num real
@attribute terceiro_num real
@attribute quarto_num real
@attribute quinto_num real
@attribute primeira_estrela real
@attribute segunda_estrela real

@data
11, 46, 11, 15, 47, 7, 10
33, 20, 10, 14, 10, 11, 8
41, 40, 20, 46, 29, 11, 9
34, 46, 34, 38, 27, 7, 11
31, 22, 31, 5, 10, 4, 9
17, 32, 45, 34, 15, 10, 5
37, 4, 6, 10, 4, 12, 3
29, 27, 10, 35, 16, 2, 1
17, 21, 5, 3, 24, 4, 10
47, 23, 37, 44, 49, 4, 7
49, 48, 49, 5, 14, 1, 10
40, 35, 17, 16, 42, 1, 5
46, 30, 24, 6, 24, 3, 2
22, 36, 49, 47, 32, 12, 11
17, 23, 6, 3, 27, 3, 8
17, 38, 21, 25, 41, 12, 9
24, 26, 7, 12, 10, 6, 10
42, 31, 35, 31, 16, 6, 2
13, 41, 18, 44, 21, 2, 11
7, 20, 49, 4, 3, 12, 6
43, 27, 26, 5, 6, 5, 6
21, 42, 35, 26, 8, 6, 9
5, 36, 26, 18, 3, 11, 11
40, 32, 43, 39, 25, 1, 8
16, 42, 15, 28, 37, 3, 11
7, 21, 48, 38, 12, 12, 8
35, 48, 8, 33, 17, 5, 6
15, 28, 29, 36, 25, 5, 6
12, 22, 14, 34, 14, 3, 1
22, 41, 46, 46, 8, 8, 3
9, 29, 31, 18, 20, 12, 10
40, 41, 40, 13, 40, 8, 4
44, 25, 42, 39, 4, 1, 10
20, 49, 19, 23, 6, 11, 8
46, 5, 25, 1, 28, 1, 5
16, 48, 43, 36, 13, 7, 7
33, 5, 11, 6, 8, 11, 2
8, 26, 44, 20, 1, 11, 6
20, 1, 15, 18, 7, 2, 10
46, 35, 46, 49, 14, 2, 8
5, 5, 42, 50, 35, 4, 10
30, 18, 21, 10, 50, 1, 4
28, 32, 7, 29, 37, 9, 2
48, 15, 36, 1, 20, 12, 11
28, 48, 44, 36, 11, 1, 4
14, 39, 32, 18, 49, 3, 12
40, 3, 12, 38, 32, 5, 9
29, 4, 15, 21, 16, 9, 11
25, 17, 28, 7, 10, 3, 12
13, 43, 41, 24, 11, 4, 7
9, 24, 37, 22, 14, 7, 11
8, 44, 43, 16, 27, 12, 12
3, 13, 12, 28, 30, 3, 11
12, 49, 46, 45, 16, 7, 3
9, 40, 1, 35, 45, 10, 8
21, 25, 21, 35, 21, 6, 3
12, 25, 4, 18, 36, 5, 1
16, 40, 4, 5, 5, 1, 5
35, 8, 39, 8, 37, 5, 3
35, 21, 18, 37, 20, 1, 9
8, 11, 23, 46, 20, 8, 5
17, 43, 2, 41, 49, 9, 12
50, 2, 24, 36, 48, 3, 2
36, 27, 27, 22, 38, 12, 12
32, 37, 27, 13, 12, 11, 2
46, 20, 35, 5, 48, 12, 8
2, 32, 39, 38, 26, 3, 7
3, 14, 17, 3, 38, 9, 9
47, 4, 45, 16, 49, 12, 2
18, 22, 18, 20, 30, 4, 5
49, 15, 34, 4, 21, 5, 9
28, 16, 27, 41, 49, 5, 7
44, 46, 32, 20, 2, 5, 11
25, 40, 23, 48, 29, 8, 4
3, 8, 47, 29, 1, 2, 6
9, 37, 50, 4, 27, 9, 3
35, 41, 44, 33, 30, 12, 12
26, 18, 1, 41, 20, 2, 4
13, 38, 42, 15, 42, 11, 1
42, 44, 32, 33, 31, 7, 1
35, 40, 41, 45, 21, 7, 2
6, 20, 34, 2, 30, 8, 9
18, 19, 27, 38, 33, 3, 7
20, 47, 13, 21, 49, 8, 8
31, 11, 19, 37, 50, 8, 8
3, 34, 27, 41, 12, 11, 9
23, 26, 45, 46, 41, 9, 4
1, 11, 32, 9, 12, 9, 5
10, 26, 45, 1, 33, 4, 12
42, 49, 4, 46, 18, 5, 3
34, 4, 49, 37, 41, 6, 1
11, 28, 10, 31, 30, 3, 10
25, 18, 44, 39, 40, 11, 8
40, 21, 34, 23, 31, 1, 6
12, 26, 44, 31, 1, 4, 5
32, 43, 41, 7, 42, 9, 11
16, 17, 50, 41, 39, 3, 9
18, 47, 42, 38, 27, 6, 10
29, 12, 11, 19, 17, 5, 8
15, 44, 3, 2, 35, 4, 12
50, 48, 43, 4, 45, 11, 12
15, 37, 31, 48, 43, 8, 3
43, 16, 2, 39, 34, 11, 12
28, 22, 5, 36, 1, 11, 7
33, 49, 6, 11, 12, 6, 5
7, 37, 3, 15, 31, 10, 2
50, 36, 17, 13, 16, 12, 2
14, 18, 6, 50, 28, 9, 12
22, 39, 50, 13, 33, 2, 11
11, 20, 41, 2, 24, 7, 4
36, 5, 23, 44, 14, 1, 4
50, 28, 21, 36, 33, 5, 3
44, 25, 38, 5, 26, 1, 7
18, 6, 1, 38, 46, 2, 12
6, 35, 36, 9, 44, 2, 12
12, 46, 4, 19, 15, 3, 7
6, 9, 32, 2, 26, 8, 12
40, 33, 17, 46, 9, 12, 7
6, 10, 43, 47, 45, 5, 4
19, 50, 32, 20, 19, 11, 2
10, 40, 11, 41, 27, 4, 2
42, 47, 6, 10, 41, 5, 12
13, 3, 41, 37, 21, 1, 2
9, 18, 7, 23, 11, 7, 5
46, 30, 10, 22, 5, 3, 12
37, 41, 28, 37, 3, 6, 9
1, 33, 50, 35, 16, 4, 6
16, 44, 45, 9, 24, 1, 1
37, 4, 8, 43, 48, 12, 1
27, 15, 2, 20, 45, 1, 4
49, 19, 16, 26, 14, 10, 1
5, 34, 23, 10, 1, 7, 12
49, 23, 21, 23, 13, 11, 9
37, 33, 11, 27, 4, 11, 10
6, 41, 21, 20, 21, 4, 6
23, 48, 39, 31, 35, 6, 1
20, 3, 41, 18, 45, 4, 1
29, 10, 34, 23, 10, 5, 12
9, 30, 39, 9, 6, 7, 3
48, 28, 49, 38, 32, 11, 4
49, 18, 18, 12, 2, 2, 5
49, 22, 44, 27, 5, 1, 6
49, 7, 15, 41, 17, 9, 6
16, 48, 10, 36, 36, 10, 12
23, 11, 2, 35, 25, 9, 10
6, 46, 40, 11, 28, 6, 12
41, 12, 25, 27, 50, 9, 6
47, 3, 50, 50, 2, 5, 9
19, 4, 19, 4, 33, 10, 6
50, 23, 18, 42, 43, 9, 5
30, 37, 20, 47, 23, 6, 3
18, 36, 6, 42, 16, 6, 1
11, 22, 27, 6, 48, 3, 8
39, 3, 28, 26, 48, 6, 11
33, 29, 18, 40, 6, 1, 8
29, 36, 25, 36, 36, 9, 6
22, 23, 23, 40, 37, 3, 12
41, 1, 46, 48, 7, 10, 2
38, 19, 24, 34, 18, 11, 4
31, 12, 37, 44, 41, 4, 8
49, 2, 43, 46, 47, 1, 2
23, 20, 18, 39, 2, 6, 11
12, 42, 31, 39, 6, 7, 5
46, 15, 38, 3, 36, 12, 9
4, 13, 22, 17, 40, 4, 2
50, 40, 14, 13, 2, 4, 7
39, 42, 14, 27, 40, 11, 12
4, 26, 37, 13, 22, 1, 4
24, 21, 16, 12, 12, 3, 2
17, 30, 49, 3, 34, 4, 11
29, 14, 21, 12, 32, 9, 11
9, 36, 15, 40, 20, 11, 5
28, 3, 30, 27, 27, 9, 7
23, 10, 46, 35, 30, 8, 9
21, 32, 28, 40, 4, 9, 7
1, 12, 42, 2, 3, 12, 9
46, 47, 45, 16, 32, 2, 7
42, 30, 34, 31, 37, 9, 6
44, 21, 8, 21, 18, 9, 10
34, 11, 25, 50, 41, 9, 8
43, 13, 35, 3, 31, 4, 10
37, 18, 8, 7, 26, 7, 7
36, 13, 16, 24, 16, 12, 2
23, 15, 13, 8, 33, 2, 6
46, 26, 27, 29, 46, 6, 10
10, 6, 33, 10, 24, 6, 1
10, 26, 21, 21, 7, 11, 6
45, 2, 20, 33, 17, 6, 8
15, 4, 48, 41, 31, 4, 11
30, 43, 3, 12, 31, 8, 5
23, 11, 30, 37, 33, 10, 1
33, 3, 3, 22, 48, 2, 1
20, 31, 35, 12, 3, 4, 8
8, 16, 3, 15, 23, 9, 12
45, 50, 8, 38, 26, 5, 7
12, 31, 47, 16, 19, 3, 12
2, 3, 40, 25, 11, 1, 1
24, 23, 17, 11, 24, 8, 3
17, 27, 50, 36, 16, 11, 4
14, 47, 8, 4, 7, 2, 12
4, 44, 35, 37, 35, 9, 1
49, 27, 35, 22, 24, 8, 7
40, 11, 12, 19, 9, 6, 2
3, 32, 46, 10, 49, 8, 11
42, 45, 13, 14, 37, 7, 1
6, 40, 47, 18, 42, 1, 8
2, 20, 21, 13, 37, 8, 2
36, 42, 41, 20, 27, 12, 12
18, 3, 3, 17, 33, 7, 8
13, 8, 48, 40, 7, 6, 1
4, 6, 30, 30, 11, 10, 10
35, 31, 44, 40, 16, 6, 5
35, 36, 38, 47, 14, 1, 5
14, 13, 43, 14, 13, 2, 10
4, 6, 44, 8, 14, 1, 12
25, 48, 42, 6, 44, 1, 11
26, 17, 11, 34, 9, 8, 6
23, 20, 43, 46, 22, 4, 5
5, 10, 4, 14, 15, 5, 6
30, 33, 49, 29, 45, 7, 6
38, 21, 40, 47, 19, 2, 11
41, 9, 4, 42, 12, 9, 7
21, 5, 42, 41, 33, 8, 9
32, 27, 7, 22, 43, 12, 9
19, 32, 33, 28, 41, 9, 4
15, 35, 18, 5, 9, 1, 11
39, 43, 44, 5, 50, 10, 2
20, 18, 6, 41, 27, 9, 3
40, 2, 48, 26, 36, 5, 5
10, 47, 17, 27, 10, 11, 10
8, 47, 33, 4, 5, 2, 1
37, 50, 16, 40, 38, 9, 12
21, 40, 32, 11, 13, 1, 6
49, 25, 17, 8, 41, 12, 11
37, 1, 47, 10, 17, 2, 6
15, 46, 34, 10, 29, 6, 3
48, 20, 40, 35, 15, 4, 5
17, 21, 44, 6, 29, 10, 3
38, 10, 3, 24, 30, 4, 6
37, 15, 16, 23, 45, 4, 1
6, 42, 2, 29, 50, 3, 9
1, 13, 21, 33, 14, 11, 3
50, 14, 20, 25, 4, 9, 11
12, 46, 2, 7, 1, 5, 3
14, 21, 21, 32, 5, 10, 6
33, 8, 4, 5, 12, 2, 2
15, 49, 30, 36, 50, 10, 12
19, 31, 15, 2, 1, 2, 11
19, 50, 13, 34, 40, 6, 7
1, 44, 41, 45, 27, 1, 10
25, 39, 43, 19, 13, 8, 2
8, 34, 48, 30, 40, 6, 1
44, 38, 15, 18, 11, 6, 9
16, 21, 12, 3, 49, 8, 11
46, 15, 19, 5, 28, 11, 5
46, 14, 27, 34, 26, 9, 12
20, 3, 20, 47, 44, 6, 6
42, 41, 49, 45, 25, 6, 11
32, 28, 49, 31, 33, 1, 5
33, 49, 29, 5, 38, 5, 3
2, 33, 40, 15, 12, 5, 6
30, 46, 1, 9, 17, 1, 11
18, 14, 29, 50, 23, 6, 7
12, 14, 49, 34, 8, 11, 11
10, 42, 41, 33, 46, 7, 6
11, 26, 4, 7, 1, 10, 5
34, 26, 39, 43, 39, 12, 2
8, 23, 28, 48, 27, 6, 10
10, 47, 19, 42, 21, 12, 2
37, 9, 16, 45, 33, 7, 10
40, 27, 27, 26, 7, 2, 10
40, 28, 15, 13, 15, 6, 1
32, 18, 14, 4, 7, 11, 2
34, 37, 29, 45, 45, 8, 2
39, 34, 16, 14, 12, 8, 2
30, 48, 47, 41, 8, 10, 3
30, 10, 29, 31, 21, 1, 1
25, 40, 14, 21, 1, 2, 3
8, 41, 1, 39, 14, 5, 10
5, 14, 39, 2, 32, 7, 8
12, 18, 23, 34, 25, 4, 6
27, 12, 35, 37, 43, 6, 4
7, 25, 2, 25, 1, 4, 1
7, 34, 5, 21, 18, 9, 3
45, 47, 17, 26, 27, 8, 3
43, 26, 27, 20, 47, 9, 8
7, 38, 28, 42, 40, 12, 6
4, 44, 22, 7, 23, 9, 5
49, 50, 43, 33, 15, 7, 10
40, 9, 7, 34, 13, 2, 1
35, 19, 26, 33, 44, 6, 1
5, 12, 16, 49, 25, 6, 11
31, 46, 39, 39, 4, 2, 3
21, 44, 27, 5, 44, 11, 11
6, 34, 36, 1, 28, 2, 7
48, 50, 17, 8, 29, 7, 2
14, 22, 43, 31, 1, 11, 8
9, 13, 41, 27, 38, 4, 9
19, 17, 20, 21, 15, 8, 6
2, 36, 43, 26, 26, 8, 2
33, 29, 8, 5, 42, 4, 3
2, 35, 40, 46, 36, 12, 9
48, 17, 23, 5, 27, 10, 6
27, 17, 12, 31, 34, 6, 9
2, 30, 48, 42, 3, 10, 12
28, 10, 26, 33, 22, 6, 5
5, 28, 37, 33, 34, 7, 7
12, 2, 50, 39, 47, 11, 11
22, 44, 28, 7, 26, 12, 11
48, 28, 32, 20, 19, 2, 12
13, 9, 23, 11, 28, 12, 8
36, 46, 7, 2, 35, 5, 8
7, 43, 29, 1, 45, 4, 7
24, 38, 21, 15, 44, 8, 11
19, 39, 20, 34, 1, 10, 2
23, 24, 41, 9, 34, 5, 7
22, 9, 44, 17, 36, 1, 9
11, 7, 50, 39, 32, 5, 5
42, 31, 2, 5, 42, 3, 2
7, 48, 28, 16, 11, 11, 2
25, 6, 28, 25, 29, 1, 7
25, 30, 42, 39, 39, 11, 6
48, 35, 15, 33, 32, 7, 2
30, 47, 1, 38, 21, 12, 4
12, 33, 41, 7, 36, 4, 8
24, 25, 29, 12, 15, 9, 5
14, 13, 49, 29, 11, 5, 5
34, 50, 31, 2, 3, 1, 9
4, 9, 24, 27, 22, 10, 10
23, 12, 31, 32, 33, 1, 5
28, 12, 47, 34, 33, 2, 10
27, 7, 45, 26, 23, 2, 6
47, 10, 17, 2, 12, 2, 4
19, 31, 46, 36, 49, 1, 8
2, 50, 41, 21, 45, 5, 6
25, 50, 16, 43, 32, 8, 5
29, 30, 36, 12, 32, 8, 8
13, 23, 45, 17, 49, 12, 3
24, 29, 40, 48, 14, 6, 5
29, 1, 33, 11, 10, 11, 9
35, 18, 36, 33, 27, 6, 6
36, 46, 15, 32, 9, 11, 9
19, 21, 23, 35, 24, 1, 5
1, 34, 13, 43, 17, 7, 7
48, 7, 42, 6, 13, 10, 6
13, 2, 14, 11, 40, 11, 3
21, 49, 18, 46, 11, 5, 9
23, 10, 45, 24, 25, 1, 7
38, 28, 20, 35, 30, 2, 8
47, 21, 22, 26, 18, 11, 1
30, 17, 22, 32, 44, 1, 3
38, 40, 17, 37, 21, 5, 5
44, 42, 5, 42, 7, 8, 8
16, 8, 23, 35, 20, 1, 12
7, 23, 45, 8, 4, 8, 9
23, 12, 11, 22, 39, 11, 12
31, 10, 31, 7, 17, 12, 5
9, 29, 26, 31, 19, 8, 10
21, 43, 49, 28, 29, 2, 9
9, 27, 45, 18, 39, 7, 10
22, 3, 7, 9, 42, 11, 10
14, 38, 13, 30, 12, 11, 8
1, 47, 8, 43, 35, 9, 4
21, 7, 31, 11, 3, 7, 4
43, 34, 34, 35, 28, 9, 8
9, 15, 34, 22, 18, 12, 12
47, 18, 2, 41, 8, 9, 9
23, 41, 35, 1, 48, 6, 3
30, 36, 1, 27, 33, 9, 7
15, 17, 30, 43, 35, 12, 7
31, 48, 28, 14, 39, 7, 11
42, 3, 43, 26, 15, 7, 6
11, 5, 24, 4, 8, 7, 8
22, 2, 36, 30, 47, 12, 2
23, 17, 12, 1, 40, 1, 5
50, 36, 40, 17, 27, 5, 5
35, 23, 37, 20, 34, 5, 1
6, 29, 8, 30, 50, 8, 8
27, 13, 22, 36, 13, 10, 4
18, 38, 33, 36, 42, 10, 7
33, 37, 33, 1, 16, 8, 6
6, 18, 46, 8, 13, 11, 10
6, 50, 30, 1, 19, 11, 5
5, 37, 26, 49, 46, 7, 7
4, 4, 4, 47, 8, 12, 8
43, 49, 10, 12, 33, 4, 12
49, 37, 12, 17, 30, 6, 12
36, 32, 48, 7, 39, 12, 10
26, 4, 7, 39, 8, 12, 8
43, 16, 46, 21, 11, 7, 12
7, 1, 48, 29, 34, 5, 12
33, 33, 32, 18, 17, 4, 3
11, 10, 40, 49, 47, 8, 4
4, 6, 16, 48, 23, 1, 5
8, 2, 3, 16, 27, 11, 10
50, 30, 16, 20, 20, 3, 9
29, 20, 3, 49, 29, 10, 1
38, 27, 9, 42, 42, 9, 8
2, 16, 1, 46, 41, 3, 12
46, 1, 10, 16, 50, 7, 2
43, 30, 43, 7, 46, 3, 10
40, 32, 49, 15, 21, 9, 3
26, 24, 48, 11, 10, 4, 5
1, 20, 18, 47, 23, 8, 10
20, 10, 48, 31, 20, 12, 10
36, 47, 24, 39, 5, 9, 7
46, 42, 2, 47, 21, 4, 5
13, 8, 29, 24, 39, 6, 7
50, 21, 17, 23, 34, 9, 6
40, 13, 47, 25, 23, 8, 6
31, 26, 14, 37, 34, 2, 6
28, 2, 18, 25, 6, 11, 3
45, 9, 48, 22, 26, 9, 11
48, 31, 41, 31, 36, 11, 7
42, 16, 43, 23, 28, 11, 1
27, 8, 3, 21, 9, 12, 5
41, 32, 15, 15, 9, 10, 8
34, 31, 4, 29, 4, 10, 8
31, 29, 35, 1, 19, 9, 7
2, 48, 8, 8, 2, 9, 3
35, 7, 13, 16, 41, 6, 6
23, 28, 42, 2, 2, 12, 10
19, 6, 17, 5, 36, 10, 5
29, 42, 5, 50, 46, 11, 3
43, 1, 37, 39, 30, 11, 3
28, 36, 37, 2, 31, 11, 7
5, 17, 2, 20, 8, 6, 5
27, 49, 26, 50, 18, 11, 2
48, 18, 2, 3, 23, 1, 6
39, 19, 34, 37, 23, 7, 10
10, 41, 25, 1, 8, 3, 4
29, 46, 18, 23, 2, 6, 10
41, 23, 21, 42, 50, 2, 7
41, 35, 35, 28, 31, 12, 5
34, 36, 29, 28, 37, 12, 5
40, 22, 7, 6, 7, 7, 5
7, 37, 25, 1, 40, 1, 8
13, 33, 16, 35, 47, 10, 2
44, 47, 42, 24, 27, 2, 7
2, 37, 43, 38, 11, 4, 5
32, 48, 23, 2, 29, 11, 12
33, 49, 45, 17, 21, 5, 1
20, 7, 14, 5, 35, 9, 11
42, 3, 41, 19, 33, 8, 11
50, 29, 36, 22, 18, 5, 12
14, 24, 15, 20, 45, 7, 4
37, 32, 15, 4, 39, 5, 5
14, 18, 1, 18, 12, 10, 6
13, 38, 18, 39, 10, 7, 10
3, 46, 24, 6, 42, 4, 8
16, 34, 43, 15, 46, 7, 2
12, 5, 4, 46, 36, 1, 4
36, 46, 7, 22, 40, 7, 1
24, 44, 49, 20, 50, 8, 7
14, 46, 9, 20, 35, 2, 5
17, 35, 4, 23, 28, 1, 12
30, 10, 40, 28, 20, 9, 5
44, 8, 42, 13, 16, 1, 1
9, 24, 44, 7, 50, 9, 5
18, 29, 40, 41, 24, 3, 3
18, 1, 27, 17, 24, 8, 8
15, 7, 16, 45, 17, 9, 11
25, 6, 11, 12, 49, 9, 8
49, 5, 43, 6, 37, 9, 3
22, 13, 43, 46, 27, 11, 9
31, 50, 34, 29, 26, 1, 5
31, 6, 29, 47, 43, 10, 10
43, 16, 14, 42, 8, 10, 1
41, 35, 37, 6, 30, 12, 4
29, 48, 40, 31, 16, 7, 9
40, 18, 40, 34, 9, 12, 6
18, 12, 23, 45, 11, 7, 3
19, 10, 6, 17, 27, 9, 12
31, 6, 41, 4, 9, 7, 6
13, 26, 4, 30, 41, 11, 11
13, 15, 1, 26, 48, 12, 11
10, 42, 1, 21, 50, 2, 11
32, 33, 13, 41, 38, 9, 2
38, 20, 6, 19, 40, 8, 3
48, 19, 36, 33, 8, 1, 6
23, 9, 3, 25, 5, 2, 5
38, 1, 39, 24, 20, 9, 4
43, 7, 38, 44, 33, 4, 1
7, 15, 28, 21, 30, 7, 4
28, 21, 17, 18, 27, 12, 2
30, 36, 1, 14, 40, 4, 8
43, 14, 2, 23, 10, 11, 12
15, 18, 11, 8, 13, 11, 7
16, 49, 10, 27, 3, 4, 9
33, 45, 29, 4, 2, 6, 4
2, 12, 31, 2, 38, 3, 11
45, 6, 14, 50, 30, 2, 7
47, 26, 1, 45, 41, 5, 5
26, 14, 35, 1, 25, 4, 3
19, 12, 11, 33, 18, 2, 2
37, 47, 47, 31, 41, 7, 2
27, 33, 19, 15, 50, 5, 4
36, 23, 38, 35, 1, 11, 2
44, 45, 38, 50, 14, 3, 9
29, 23, 21, 22, 32, 5, 7
50, 11, 41, 41, 27, 4, 12
2, 25, 17, 18, 25, 12, 2
22, 12, 8, 31, 24, 11, 10
33, 48, 42, 13, 33, 1, 3
12, 47, 50, 14, 14, 11, 12
34, 40, 39, 5, 6, 5, 10
45, 19, 41, 50, 30, 5, 5
47, 18, 34, 3, 37, 8, 4
44, 16, 34, 21, 10, 10, 6
18, 37, 40, 22, 31, 7, 9
44, 12, 43, 45, 10, 8, 2
17, 26, 11, 47, 46, 8, 12
7, 2, 6, 8, 35, 9, 2
22, 17, 47, 13, 8, 9, 2
17, 45, 29, 23, 11, 11, 9
47, 2, 11, 17, 45, 10, 5
27, 38, 15, 36, 28, 9, 9
13, 20, 42, 43, 5, 7, 4
10, 27, 9, 20, 30, 10, 4
8, 4, 38, 25, 30, 9, 4
33, 31, 13, 10, 31, 7, 10
38, 6, 28, 17, 1, 3, 12
8, 10, 7, 28, 26, 11, 1
47, 44, 36, 16, 37, 3, 8
36, 35, 25, 34, 42, 12, 8
15, 45, 32, 14, 46, 9, 1
26, 14, 17, 22, 33, 3, 11
35, 18, 16, 20, 11, 1, 2
28, 9, 43, 7, 21, 11, 2
13, 27, 11, 4, 35, 9, 2
23, 4, 38, 44, 37, 1, 11
39, 16, 12, 40, 37, 1, 7
23, 33, 7, 35, 49, 4, 2
40, 30, 47, 42, 5, 2, 1
34, 8, 48, 40, 10, 6, 10
4, 44, 10, 2, 27, 11, 5
25, 45, 4, 24, 9, 8, 12
9, 44, 40, 48, 17, 7, 1
38, 10, 20, 10, 3, 11, 7
9, 41, 26, 49, 11, 5, 11
24, 5, 23, 3, 31, 3, 2
36, 20, 9, 45, 22, 4, 8
18, 50, 15, 37, 32, 2, 8
12, 7, 50, 27, 34, 8, 1
20, 29, 35, 50, 22, 4, 1
37, 30, 32, 35, 7, 9, 4
37, 39, 35, 38, 30, 11, 2
15, 5, 27, 43, 13, 2, 7
25, 29, 12, 32, 31, 8, 8
50, 29, 22, 17, 22, 9, 8
